Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1624073;3.548888888888889;43.31611111111111;"43°18'58.000""N 3°32'56.000""E";34150;"";"75 CHEM DE L' AIRETTE";34340;MARSEILLAN;Immeuble;11.5;"Copropriété, Syndic, SCI"
1624077;3.535555555555556;43.31388888888889;"43°18'50.000""N 3°32'8.000""E";34150;GOURG DU PAILLROLLET;25 CHEM DU RIEU RANCH LA CAMARGUE;34340;MARSEILLAN;Pylône tubulaire;14.0;HIVORY
1624081;3.138611111111111;43.33305555555555;"43°19'59.000""N 3°8'19.000""E";34161;"";5032 AV DE BÉZIERS;34310;MONTADY;Pylône autostable;13.6;HIVORY
1624236;3.6061111111111113;43.425555555555555;"43°25'32.000""N 3°36'22.000""E";34157;"";21 RUE PIERRE ET AUGUSTE MASSALOUP;34140;MEZE;Immeuble;20.7;"Copropriété, Syndic, SCI"
1625156;1.2697222222222222;43.8325;"43°49'57.000""N 1°16'11.000""E";82075;"";CHEMIN RURAL N 10 DIT DE RABANEL STATION DE RABANEL;82170;GRISOLLES;Bâtiment;5.0;Société Privée
1625160;1.2016666666666667;43.88666666666667;"43°53'12.000""N 1°12'6.000""E";82105;"";D 77 USINE DE PENGE L AGASSE USINE DU BAC;82600;MAS GRENIER;"Château d'eau - réservoir";5.0;"Syndicat des eaux, Adduction"
1625421;1.3175;43.82222222222222;"43°49'20.000""N 1°19'3.000""E";82142;"";CHEMIN DU CHATEAU D EAU RESERVOIR DE POMPIGNAN;82170;POMPIGNAN;"Château d'eau - réservoir";40.0;"Syndicat des eaux, Adduction"
1625476;0.059166666666666666;43.242222222222225;"43°14'32.000""N 0°3'33.000""E";65440;"";3- 5 RUE JEAN MERMOZ;65000;TARBES;Immeuble;19.0;"Copropriété, Syndic, SCI"
1625948;3.0341666666666667;43.195277777777775;"43°11'43.000""N 3°2'3.000""E";11262;GRAND BEAUPRÉ;"";11100;NARBONNE;Pylône autostable;22.0;HIVORY
1625985;3.5094444444444446;43.29833333333333;"43°17'54.000""N 3°30'34.000""E";34003;"";CHÂTEAU DE MARAVAL;34300;AGDE;Immeuble;20.8;"Copropriété, Syndic, SCI"
1625994;3.4458333333333333;43.28388888888889;"43°17'2.000""N 3°26'45.000""E";34003;"GRAU D'AGDE";5 R JACQUES BEZIAT;34300;AGDE;Immeuble;11.5;"Copropriété, Syndic, SCI"
1626008;3.486111111111111;43.303333333333335;"43°18'12.000""N 3°29'10.000""E";34003;"";2 BD RENE CASSIN;34300;AGDE;Pylône tubulaire;12.0;HIVORY
1626016;3.505;43.28472222222222;"43°17'5.000""N 3°30'18.000""E";34003;"";87 AV DES SERGENTS RÉSIDENCE AGATHÉA;34300;AGDE;Bâtiment;18.5;Société Privée
1626042;0.14833333333333334;43.06388888888889;"43°3'50.000""N 0°8'54.000""E";65059;"";7 RUE FREDERIC SOUTRAS;65710;BAGNERES DE BIGORRE;Immeuble;25.0;"Copropriété, Syndic, SCI"
1627357;1.0927777777777778;44.1;"44°6'0.000""N 1°5'34.000""E";82112;"";41 QUAI CHARLES DE GAULLE;82200;MOISSAC;Silo;37.9;"Coopérative Agricole, Vinicole"
1628531;3.289722222222222;43.24527777777778;"43°14'43.000""N 3°17'23.000""E";34324;"";12 BLD MICHELET;34350;VALRAS PLAGE;Immeuble;21.0;"Copropriété, Syndic, SCI"
1629200;3.008888888888889;43.181111111111115;"43°10'52.000""N 3°0'32.000""E";11262;"";9 QUAI VICTOR HUGO;11100;NARBONNE;Immeuble;26.0;"Copropriété, Syndic, SCI"
1629204;3.1630555555555557;43.16444444444444;"43°9'52.000""N 3°9'47.000""E";11262;LES COLONIES;SERVICES TECHNIQUES CHEM DE LA FALAISE;11100;NARBONNE;Pylône tubulaire;23.0;CELLNEX
1629214;3.4894444444444446;43.27777777777778;"43°16'40.000""N 3°29'22.000""E";34003;"";9 AVENUE D OUTRE MER;34300;AGDE;Immeuble;14.1;"Copropriété, Syndic, SCI"
1629221;3.466388888888889;43.315;"43°18'54.000""N 3°27'59.000""E";34003;"";11 AV DE VIAS;34300;AGDE;Immeuble;20.2;Particulier
1629232;3.2152777777777777;43.34527777777778;"43°20'43.000""N 3°12'55.000""E";34032;"";13 PLACE DE LA VICTOIRE;34500;BEZIERS;Bâtiment;19.0;"Copropriété, Syndic, SCI"
1629257;3.2775;43.283055555555556;"43°16'59.000""N 3°16'39.000""E";34299;"";RUE LEDRU ROLLIN;34410;SERIGNAN;Immeuble;25.0;Société Privée
1629502;0.9769444444444445;43.1925;"43°11'33.000""N 0°58'37.000""E";31324;"L'HÔPITAL";"";31220;MARTRES TOLOSANE;Pylône tubulaire;41.9;ON TOWER FRANCE
1629895;2.8105555555555557;44.07055555555556;"44°4'14.000""N 2°48'38.000""E";12296;PINET;PINET BARRAGE;12490;VIALA DU TARN;Mât métallique;5.0;EDF ou GDF
1629918;3.017777777777778;43.189166666666665;"43°11'21.000""N 3°1'4.000""E";11262;"";10 BOULEVARD DE 1830;11100;NARBONNE;Immeuble;27.0;"Copropriété, Syndic, SCI"
1632356;2.4991666666666665;43.625;"43°37'30.000""N 2°29'57.000""E";81037;USINE HYDRAULIQUE DE BRASSAC;CHEMIN DU CAMBOUSSEL;81260;BRASSAC;Bâtiment;3.0;EDF ou GDF
1632359;2.502222222222222;43.62444444444444;"43°37'28.000""N 2°30'8.000""E";81037;LE SALAS;VDT BRASSAC;81260;BRASSAC;Bâtiment;6.0;EDF ou GDF
1632363;2.437222222222222;43.64194444444445;"43°38'31.000""N 2°26'14.000""E";81031;LA BRESCARIÉ;D66-GUIOR BAS;81260;BEZ;Pylône autostable;40.0;EDF ou GDF
1632384;2.4452777777777777;43.649166666666666;"43°38'57.000""N 2°26'43.000""E";81031;BARRAGE DE RECORD;"LOCAL PRISE D'EAU RECORD BARRAGE";81260;BEZ;Bâtiment;3.0;EDF ou GDF
1632396;2.421111111111111;43.51;"43°30'36.000""N 2°25'16.000""E";81209;CENTRALE ÉLECTRIQUE DU BAOUS;VDT BAOUS;81660;PONT DE LARN;Bâtiment;7.0;EDF ou GDF
1633336;3.3325;43.26611111111111;"43°15'58.000""N 3°19'57.000""E";34299;"";DOMAINE DE BEAUSÉJOUR;34410;SERIGNAN;Immeuble;14.7;Particulier
1633680;3.249722222222222;43.24138888888889;"43°14'29.000""N 3°14'59.000""E";34329;LA DEDONE;"";34350;VENDRES;Pylône autostable;27.0;CELLNEX
1633708;2.983888888888889;43.13583333333333;"43°8'9.000""N 2°59'2.000""E";11024;LA JOUNCASSO;RD 105;11100;BAGES;Bâtiment;7.0;EDF ou GDF
1635362;3.1325;43.33361111111111;"43°20'1.000""N 3°7'57.000""E";34161;"";AVENUE DE BÉZIERS;34310;MONTADY;Pylône tubulaire;13.3;TOTEM
1635545;3.901388888888889;44.00277777777778;"44°0'10.000""N 3°54'5.000""E";30172;BARAGNECH;HAMEAU DES UNAS;30170;MONOBLET;Pylône autostable;20.0;HIVORY
1635901;0.7127777777777777;43.100833333333334;"43°6'3.000""N 0°42'46.000""E";31483;QUARTIER PUJAMENS;"CHÂTEAU D'EAU R DU PIC DU GAR";31800;SAINT GAUDENS;"Château d'eau - réservoir";37.0;"Syndicat des eaux, Adduction"
1636017;3.696388888888889;43.40222222222222;"43°24'8.000""N 3°41'47.000""E";34301;"";5 RUE FREDERIC MISTRAL;34200;SETE;Bâtiment;20.5;Particulier
1636700;0.7625;43.08861111111111;"43°5'19.000""N 0°45'45.000""E";31344;MONT JAMMES HAUT;"";31800;MIRAMONT DE COMMINGES;Pylône autostable;32.0;HIVORY
1636726;1.5225;43.61611111111111;"43°36'58.000""N 1°31'21.000""E";31044;LA COSTE;"AV RAYMOND POINCARE / D 64 CHÂTEAU D'EAU";31130;BALMA;"Château d'eau - réservoir";24.0;"Syndicat des eaux, Adduction"
1636873;0.5941666666666666;44.17638888888889;"44°10'35.000""N 0°35'39.000""E";47091;"";AEROPORT D AGEN LA GARENNE ESTILLAC;47310;ESTILLAC;Bâtiment;6.0;Aviation Civile
1637005;0.9613888888888888;43.16777777777778;"43°10'4.000""N 0°57'41.000""E";31084;SANSONNET;AVENUE DES PYRENÉES;31360;BOUSSENS;Pylône tubulaire;13.5;HIVORY
1637024;3.1302777777777777;43.37277777777778;"43°22'22.000""N 3°7'49.000""E";34069;PUECH ST MARTIN;"";34370;CAZOULS LES BEZIERS;Pylône autostable;25.0;ATC FRANCE
1637040;1.0541666666666667;43.739444444444445;"43°44'22.000""N 1°3'15.000""E";31275;LAOUZET;DÉPARTEMENTALE D1 ROUTE DE LECTOURE;31480;LAREOLE;Pylône autostable;35.0;HIVORY
1637438;3.230277777777778;43.80277777777778;"43°48'10.000""N 3°13'49.000""E";34233;"L'ESCANDORGUE";"";34650;ROQUEREDONDE;Pylône autostable;35.0;Conseil Départemental
1638481;2.9947222222222223;43.176944444444445;"43°10'37.000""N 2°59'41.000""E";11262;"";"89, AVENUE GÉNÉRAL LECLERC";11100;NARBONNE;Pylône tubulaire;15.2;ON TOWER FRANCE
1638487;1.3966666666666667;43.6175;"43°37'3.000""N 1°23'48.000""E";31555;"";"7, CHEMIN DE LA FLAMBÈRE";31000;TOULOUSE;Immeuble;23.2;"Copropriété, Syndic, SCI"
1638489;1.4497222222222224;43.609722222222224;"43°36'35.000""N 1°26'59.000""E";31555;"";"CAMPUS BAYARD 40/42, RUE BAYARD";31000;TOULOUSE;Immeuble;31.0;Société Privée
1638576;2.1605555555555553;44.04944444444445;"44°2'58.000""N 2°9'38.000""E";81060;"";PLACE DE LA LIBÉRATION;81400;CARMAUX;Monument religieux;50.0;"Commune, communauté de commune"
1638720;1.3086111111111112;43.88388888888889;"43°53'2.000""N 1°18'31.000""E";82027;"";455 CHEM DE LA FEMELLE;82370;CAMPSAS;Bâtiment;14.5;Société Privée
1638753;2.4266666666666667;43.39833333333333;"43°23'54.000""N 2°25'36.000""E";11297;LES JOUYS;ROUTE DU MAS;11380;PRADELLES CABARDES;Bâtiment;5.0;ORANGE Services Fixes
1640042;2.3030555555555554;43.08277777777778;"43°4'58.000""N 2°18'11.000""E";11344;COL DE GARDIE;"";11250;SAINT HILAIRE;Pylône autostable;19.0;SYADEN
1640548;0.9522222222222222;44.05555555555556;"44°3'20.000""N 0°57'8.000""E";82166;LES DOUMINGES;A 62;82340;SAINT MICHEL;Pylône autostable;29.0;HIVORY
